WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
13743,20160301,0052,11,CLR, ,10.00, , , ,44, ,6.7, ,41, ,4.7, ,36, ,2.2, , 74, , 0, ,000, , , ,29.99, , , , , ,30.06, ,AA, , , ,30.06, 
13743,20160301,0152,11,CLR, ,10.00, , , ,44, ,6.7, ,41, ,5.1, ,38, ,3.3, , 80, , 0, ,000, , , ,30.00, , , , , ,30.06, ,AA, , , ,30.07, 
13743,20160301,0252,11,CLR, ,10.00, , , ,43, ,6.1, ,40, ,4.6, ,37, ,2.8, , 79, , 3, ,010, , , ,30.01, , , , , ,30.08, ,AA, , , ,30.08, 
13743,20160301,0352,11,CLR, ,10.00, , , ,42, ,5.6, ,40, ,4.3, ,37, ,2.8, , 83, , 0, ,000, , , ,30.02, , , , , ,30.09, ,AA, , , ,30.09, 
13743,20160301,0452,11,CLR, ,10.00, , , ,42, ,5.6, ,39, ,3.6, ,34, ,1.1, , 73, , 0, ,000, , , ,30.04, , , , , ,30.11, ,AA, , , ,30.11, 
13743,20160301,0552,11,FEW140, ,10.00, , , ,40, ,4.4, ,38, ,3.2, ,35, ,1.7, , 82, , 0, ,000, , , ,30.04, , , , , ,30.11, ,AA, , , ,30.11, 
13743,20160301,0652,11,FEW140, ,10.00, , , ,41, ,5.0, ,38, ,3.3, ,34, ,1.1, , 76, , 3, ,200, , , ,30.04, , , , , ,30.11, ,AA, , , ,30.11, 
13743,20160301,0752,11,FEW150, ,10.00, , , ,44, ,6.7, ,41, ,5.1, ,38, ,3.3, , 80, , 0, ,000, , , ,30.04, , , , , ,30.11, ,AA, , , ,30.11, 
13743,20160301,0852,11,FEW150, ,10.00, , , ,49, ,9.4, ,43, ,5.9, ,35, ,1.7, , 59, , 6, ,200, , , ,30.07, , , , , ,30.14, ,AA, , , ,30.14, 
13743,20160301,0952,11,FEW250, ,10.00, , , ,55, ,12.8, ,45, ,7.0, ,32, ,0.0, , 42, , 6, ,180, , , ,30.05, , , , , ,30.12, ,AA, , , ,30.12, 
13743,20160301,1052,11,FEW250, ,10.00, , , ,61, ,16.1, ,48, ,8.7, ,32, ,0.0, , 34, ,13, ,190, , , ,30.03, , , , , ,30.10, ,AA, , , ,30.10, 
13743,20160301,1152,11,FEW250, ,10.00, , , ,63, ,17.2, ,48, ,9.0, ,31, ,-0.6, , 30, ,17, ,170, ,24, ,29.98, , , , , ,30.05, ,AA, , , ,30.05, 
13743,20160301,1252,11,SCT250, ,10.00, , , ,63, ,17.2, ,49, ,9.5, ,34, ,1.1, , 34, ,13, ,170, ,22, ,29.93, , , , , ,30.00, ,AA, , , ,30.00, 
13743,20160301,1352,11,FEW170 SCT250, ,10.00, , , ,64, ,17.8, ,49, ,9.4, ,32, ,0.0, , 30, ,14, ,150, , , ,29.88, , , , , ,29.95, ,AA, , , ,29.95, 
13743,20160301,1452,11,FEW180 BKN200, ,10.00, , , ,65, ,18.3, ,50, ,10.0, ,34, ,1.1, , 32, ,15, ,150, ,24, ,29.84, , , , , ,29.91, ,AA, , , ,29.91, 
13743,20160301,1552,11,FEW190 BKN250, ,10.00, , , ,61, ,16.1, ,48, ,8.8, ,33, ,0.6, , 35, ,14, ,130, , , ,29.81, , , , , ,29.88, ,AA, , , ,29.88, 
13743,20160301,1652,11,FEW200 BKN240, ,10.00, , , ,60, ,15.6, ,48, ,8.7, ,34, ,1.1, , 38, ,15, ,150, ,22, ,29.77, , , , , ,29.84, ,AA, , , ,29.84, 
13743,20160301,1752,11,SCT080 BKN240, ,10.00, , , ,58, ,14.4, ,49, ,9.3, ,39, ,3.9, , 49, , 9, ,160, , , ,29.73, , , , , ,29.80, ,AA, , , ,29.80, 
13743,20160301,1852,11,FEW080 BKN230, ,10.00, , , ,56, ,13.3, ,50, ,9.7, ,43, ,6.1, , 62, , 9, ,160, , , ,29.69, , , , , ,29.75, ,AA, , , ,29.76, 
13743,20160301,1952,11,FEW090 BKN200, ,10.00, , , ,56, ,13.3, ,50, ,10.2, ,45, ,7.2, , 67, ,11, ,170, , , ,29.64, , , , , ,29.71, ,AA, , , ,29.71, 
13743,20160301,2052,11,FEW100 BKN150, ,10.00, , , ,57, ,13.9, ,51, ,10.4, ,45, ,7.2, , 64, ,14, ,180, , , ,29.59, , , , , ,29.66, ,AA, , , ,29.66, 
13743,20160301,2152,11,BKN080 BKN150, ,10.00, , , ,58, ,14.4, ,51, ,10.7, ,45, ,7.2, , 62, ,18, ,180, , , ,29.54, , , , , ,29.60, ,AA, , , ,29.61, 
13743,20160301,2252,11,SCT065 BKN090 OVC150, ,10.00, , , ,61, ,16.1, ,53, ,11.4, ,45, ,7.2, , 56, ,17, ,190, ,26, ,29.52, , , , , ,29.59, ,AA, ,  T, ,29.59, 
13743,20160301,2352,11,SCT060 OVC080, ,10.00, ,-RA, ,59, ,15.0, ,53, ,11.7, ,48, ,8.9, , 67, ,15, ,200, , , ,29.49, , , , , ,29.56, ,AA, ,  T, ,29.56, 
13743,20160302,0052,11,SCT049 OVC060, , 9.00, ,-RA, ,58, ,14.4, ,54, ,12.0, ,50, ,10.0, , 75, ,13, ,210, , , ,29.50, , , , , ,29.57, ,AA, ,0.03,s,29.57, 
13743,20160302,0152,11,FEW042 SCT050 OVC060, , 7.00, ,-RA, ,56, ,13.3, ,54, ,12.4, ,53, ,11.7, , 90, ,16, ,210, , , ,29.51, , , , , ,29.57, ,AA, ,0.04, ,29.58, 
13743,20160302,0252,11,FEW042 OVC075, ,10.00, ,-RA, ,57, ,13.9, ,54, ,12.0, ,51, ,10.6, , 80, ,13, ,270, , , ,29.52, , , , , ,29.58, ,AA, ,0.02, ,29.59, 
13743,20160302,0352,11,SCT080 BKN100 OVC140, ,10.00, , , ,54, ,12.2, ,50, ,9.9, ,46, ,7.8, , 75, , 8, ,240, , , ,29.53, , , , , ,29.60, ,AA, ,0.01, ,29.60, 
13743,20160302,0452,11,FEW042 BKN110 BKN200, ,10.00, , , ,52, ,11.1, ,45, ,7.0, ,36, ,2.2, , 55, ,31, ,310, ,41, ,29.58, , , , , ,29.65, ,AA, ,  T, ,29.65, 
