hour_of_day,0,1,2,3,4,5,6
0.0,21.0,34.0,43.0,47.0,51.0,89.0,106.0
0.1,39.0,22.0,27.0,37.0,56.0,87.0,100.0
0.2,31.0,24.0,26.0,42.0,50.0,98.0,77.0
0.3,26.0,27.0,25.0,29.0,52.0,99.0,87.0
0.4,19.0,24.0,29.0,29.0,50.0,98.0,69.0
0.5,16.0,23.0,20.0,25.0,52.0,70.0,58.0
0.6,21.0,14.0,22.0,25.0,42.0,58.0,83.0
0.7,16.0,10.0,17.0,17.0,32.0,64.0,61.0
0.8,11.0,8.0,13.0,17.0,27.0,71.0,61.0
0.9,11.0,8.0,6.0,15.0,33.0,66.0,63.0
1.0,8.0,9.0,15.0,9.0,26.0,66.0,68.0
1.1,6.0,11.0,11.0,9.0,37.0,58.0,65.0
1.2,14.0,12.0,13.0,14.0,38.0,61.0,59.0
1.3,8.0,5.0,10.0,17.0,20.0,45.0,63.0
1.4,10.0,10.0,3.0,16.0,23.0,55.0,59.0
1.5,6.0,4.0,9.0,9.0,26.0,49.0,75.0
1.6,4.0,4.0,14.0,10.0,25.0,48.0,65.0
1.7,5.0,5.0,8.0,15.0,25.0,51.0,63.0
1.8,4.0,4.0,5.0,4.0,25.0,39.0,62.0
1.9,3.0,4.0,6.0,6.0,19.0,43.0,55.0
2.0,3.0,10.0,5.0,9.0,22.0,52.0,55.0
2.1,4.0,10.0,6.0,5.0,23.0,43.0,43.0
2.2,1.0,10.0,5.0,7.0,18.0,36.0,50.0
2.3,4.0,3.0,5.0,8.0,21.0,36.0,46.0
2.4,4.0,3.0,5.0,2.0,24.0,43.0,36.0
2.5,5.0,2.0,3.0,7.0,11.0,30.0,34.0
2.6,6.0,2.0,2.0,1.0,8.0,24.0,43.0
2.7,3.0,2.0,2.0,2.0,11.0,25.0,36.0
2.8,5.0,2.0,2.0,3.0,9.0,33.0,25.0
2.9,2.0,,4.0,1.0,8.0,33.0,38.0
3.0,,1.0,3.0,1.0,15.0,21.0,47.0
3.1,3.0,2.0,1.0,3.0,8.0,27.0,44.0
3.2,1.0,,4.0,1.0,2.0,17.0,36.0
3.3,2.0,1.0,3.0,2.0,9.0,16.0,17.0
3.4,3.0,4.0,1.0,4.0,6.0,16.0,16.0
3.5,2.0,2.0,2.0,2.0,3.0,17.0,24.0
3.6,4.0,3.0,3.0,2.0,2.0,9.0,23.0
3.7,5.0,2.0,3.0,1.0,7.0,6.0,22.0
3.8,5.0,6.0,3.0,2.0,6.0,16.0,16.0
3.9,2.0,3.0,3.0,2.0,7.0,13.0,16.0
4.0,1.0,2.0,2.0,3.0,5.0,6.0,7.0
4.1,2.0,3.0,2.0,2.0,3.0,7.0,6.0
